system:index,KLC_ID,PA,Year,bare-coverfraction,crops-coverfraction,grass-coverfraction,moss-coverfraction,shrub-coverfraction,snow-coverfraction,tree-coverfraction,urban-coverfraction,water-permanent-coverfraction,water-seasonal-coverfraction,.geo
27,SAF_03,true,2017.0,3109.168930580832,40.05011382940475,23171.773777379232,0.0,7661.46133790352,0.0,1444.3773612336472,5.355937282892437,0.0,0.007704339855990838,
28,SAF_03,true,2018.0,4122.196863974161,21.803603855988175,22501.105955428808,0.0,7508.350508697274,0.0,1273.3624198921696,5.3681063611051805,0.0,0.014767080661840737,
29,SAF_03,true,2019.0,7924.057568063242,39.972255346424305,16952.305267107462,0.0,9159.741623215254,0.0,1350.7628907947653,5.3478536823748435,0.0,0.006251846403756645,
30,SAF_08,false,2015.0,26.954714709279912,197.0589211546508,593.8260100609542,0.0,633.5655098036693,0.0,1566.3844388378702,3.1680500637588977,0.37340077735907645,1.435484957876649,
31,SAF_08,false,2016.0,21.243040415600376,191.568249428869,576.4930977536776,0.0,626.5930912227799,0.0,1601.130931561338,3.905148557566139,0.397486467711632,1.3874740736651765,
32,SAF_08,false,2017.0,26.213445345003386,234.1457016778067,560.0445402633521,0.0,585.2633043950228,0.0,1611.1327709406619,4.116032553911656,0.41525023177924636,1.768532426009643,
33,SAF_08,false,2018.0,26.489832582431642,243.1850204455391,541.22274403015,0.0,567.2542329575274,0.0,1638.7578820823014,4.111244324912733,0.31008898467772783,1.644282169336128,
34,SAF_08,false,2019.0,23.61880850355571,301.79021533209465,539.4046275270232,0.0,547.7606960120216,0.0,1602.886747614898,5.504769140811047,0.3651812771359212,4.8482947875053535,
35,SAF_08,true,2015.0,25.699750027969323,192.47726710566056,575.4193402340609,0.0,618.4560533136168,0.0,1533.1513113292144,3.0655715031630097,0.08330000898630735,0.7997141227575514,
36,SAF_08,true,2016.0,20.068329699407734,187.0869517375155,558.1535340503193,0.0,611.4292508756089,0.0,1567.7343211371308,3.7823813493106475,0.09782467337867916,0.8030701349421484,
37,SAF_08,true,2017.0,24.976783642189915,227.96788838817884,542.3510113228956,0.0,570.7494901300729,0.0,1578.2479216992972,3.977156685351043,0.08234165468225803,1.0533532015967877,
38,SAF_08,true,2018.0,25.133908914623415,237.3881155166419,523.6424874636967,0.0,552.719436287741,0.0,1605.42671043024,3.9723681104786044,0.06956679925374464,0.9538187277120396,
39,SAF_08,true,2019.0,22.324773390227005,294.7134536704397,521.8800402013067,0.0,533.4161656561836,0.0,1570.5962319075618,5.336099978782952,0.08582871817098016,3.413393515251197,
