area_km2,klc_id,klc_name,year,pa,area_loss
35510.52964138696,SAF_03,Kgalagadi TFNP,2012,total,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2012,inside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2012,outside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2013,total,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2013,inside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2013,outside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2014,total,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2014,inside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2014,outside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2015,total,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2015,inside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2015,outside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2016,total,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2016,inside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2016,outside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2017,total,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2017,inside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2017,outside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2018,total,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2018,inside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2018,outside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2019,total,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2019,inside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2019,outside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2020,total,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2020,inside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2020,outside,0
3021.3708964548196,SAF_08,Chimanimani,2001,total,2.3868882380754055
3021.3708964548196,SAF_08,Chimanimani,2001,inside,2.271276589184331
3021.3708964548196,SAF_08,Chimanimani,2001,outside,0.11561164889107456
3021.3708964548196,SAF_08,Chimanimani,2002,total,1.6085312569256962
3021.3708964548196,SAF_08,Chimanimani,2002,inside,1.2527973576724785
3021.3708964548196,SAF_08,Chimanimani,2002,outside,0.35573389925321774
3021.3708964548196,SAF_08,Chimanimani,2003,total,2.73922707504284
3021.3708964548196,SAF_08,Chimanimani,2003,inside,2.5579069000308716
3021.3708964548196,SAF_08,Chimanimani,2003,outside,0.1813201750119684
3021.3708964548196,SAF_08,Chimanimani,2004,total,8.124289265506496
3021.3708964548196,SAF_08,Chimanimani,2004,inside,8.04965743172509
3021.3708964548196,SAF_08,Chimanimani,2004,outside,0.0746318337814067
3021.3708964548196,SAF_08,Chimanimani,2005,total,4.495622332153078
3021.3708964548196,SAF_08,Chimanimani,2005,inside,4.390244437172558
3021.3708964548196,SAF_08,Chimanimani,2005,outside,0.10537789498052064
3021.3708964548196,SAF_08,Chimanimani,2006,total,23.198135470359755
3021.3708964548196,SAF_08,Chimanimani,2006,inside,22.882215081477746
3021.3708964548196,SAF_08,Chimanimani,2006,outside,0.31592038888200946
3021.3708964548196,SAF_08,Chimanimani,2007,total,9.283244684214393
3021.3708964548196,SAF_08,Chimanimani,2007,inside,9.194685859390075
